order_id,product,category,region,amount,quantity,order_date
ORD-001,Laptop,Electronics,North America,1200.50,1,2025-01-05
ORD-002,Mouse,Electronics,Europe,25.99,2,2025-01-06
ORD-003,Keyboard,Electronics,Asia,75.00,1,2025-01-07
ORD-004,Monitor,Electronics,Africa,599.99,1,2025-01-08
ORD-005,Headphones,Electronics,South America,149.99,1,2025-01-09
ORD-006,Desk,Furniture,Australia,450.00,1,2025-01-10
ORD-007,Chair,Furniture,North America,299.99,1,2025-01-11
ORD-008,Bookshelf,Furniture,Europe,199.50,2,2025-01-12
ORD-009,Cabinet,Furniture,Asia,375.00,1,2025-01-13
ORD-010,Lamp,Furniture,Africa,89.99,3,2025-01-14
ORD-011,Notebook,Stationery,South America,5.99,5,2025-01-15
ORD-012,Pen Set,Stationery,Australia,12.50,4,2025-01-16
ORD-013,Folder,Stationery,North America,8.99,10,2025-01-17
ORD-014,Stapler,Stationery,Europe,15.99,2,2025-01-18
ORD-015,Calculator,Stationery,Asia,29.99,1,2025-01-19
ORD-016,Laptop,Electronics,Africa,1150.00,1,2025-01-20
ORD-017,Desk,Furniture,South America,499.99,1,2025-01-21
ORD-018,Chair,Furniture,Australia,325.00,2,2025-01-22
ORD-019,Monitor,Electronics,North America,625.00,1,2025-01-23
ORD-020,Keyboard,Electronics,Europe,79.99,3,2025-01-24
ORD-021,Bookshelf,Furniture,Asia,225.00,1,2025-01-25
ORD-022,Pen Set,Stationery,Africa,11.99,6,2025-01-26
ORD-023,Laptop,Electronics,South America,1199.99,1,2025-01-27
ORD-024,Headphones,Electronics,Australia,139.99,2,2025-01-28
ORD-025,Cabinet,Furniture,North America,399.99,1,2025-01-29
ORD-026,Tablet,Electronics,Europe,499.99,1,2025-02-01
ORD-027,Phone,Electronics,Asia,899.99,1,2025-02-02
ORD-028,Printer,Electronics,Africa,249.99,1,2025-02-03
ORD-029,Scanner,Electronics,South America,179.99,1,2025-02-04
ORD-030,Webcam,Electronics,Australia,89.99,2,2025-02-05
ORD-031,Sofa,Furniture,North America,899.99,1,2025-02-06
ORD-032,Table,Furniture,Europe,349.99,1,2025-02-07
ORD-033,Dresser,Furniture,Asia,599.99,1,2025-02-08
ORD-034,Wardrobe,Furniture,Africa,799.99,1,2025-02-09
ORD-035,Nightstand,Furniture,South America,149.99,2,2025-02-10
ORD-036,Binder,Stationery,Australia,19.99,8,2025-02-11
ORD-037,Paper,Stationery,North America,24.99,5,2025-02-12
ORD-038,Envelope,Stationery,Europe,9.99,20,2025-02-13
ORD-039,Marker Set,Stationery,Asia,15.99,4,2025-02-14
ORD-040,Tape,Stationery,Africa,4.99,10,2025-02-15
ORD-041,Laptop,Electronics,South America,1299.99,1,2025-02-16
ORD-042,Mouse,Electronics,Australia,29.99,3,2025-02-17
ORD-043,Keyboard,Electronics,North America,85.00,2,2025-02-18
ORD-044,Monitor,Electronics,Europe,649.99,1,2025-02-19
ORD-045,Headphones,Electronics,Asia,199.99,1,2025-02-20
ORD-046,Desk,Furniture,Africa,499.99,1,2025-02-21
ORD-047,Chair,Furniture,South America,349.99,1,2025-02-22
ORD-048,Bookshelf,Furniture,Australia,249.99,1,2025-02-23
ORD-049,Cabinet,Furniture,North America,425.00,1,2025-02-24
